abjad|abjat
akta|akte
aktif|aktip
aktivitas|aktifitas
amendemen|amandemen
andal|handal
analisis|analisa
andal|handal
antre|antri
asas|azas
apak|apek
apotek|apotik
aritmetika|aritmatika
atlet|atlit
atmosfer|atmosfir
cabai|cabe
camilan|cemilan
cendekia|cendikia
cenderamata|cinderamata
detail|detil
definisi|difinisi
diagnosis|diagnosa
embus|hembus
ekstra|extra
ekstrem|ekstrim
esai|esei
februari|pebruari
fondasi|pondasi
formal|formil
frasa|frase
frekuensi|frekwensi
gizi|gisi
hafal|hapal
hakikat|hakekat
hipotesis|hipotesa
hierarki|hirarki
ijazah|ijasah
izin|ijin
imbau|himbau
isap|hisap
istri|isteri
jadwal|jadual
jenazah|jenasah
jenderal|jendral
justru|justeru
kafetaria|kafeteria
kalender|kalendar
karier|karir
katapel|ketapel
kategori|katagori
kedaluwarsa|kadaluwarsa
kendaraan|kenderaan
komplet|komplit
konferensi|konperensi
kongres|konggres
konkret|kongkrit
kreativitas|kreatifitas
kualifikasi|kwalifikasi
kualitatif|kwalitatif
kuantitatif|kwantitatif
kualitas|kwalitas
kuitansi|kwitansi
lubang|lobang
maaf|ma’af
makhluk|mahluk
manajemen|menejemen
masjid|mesjid
merek|merk
meterai|materai
meterai|meterei
metode|metoda
miliar|milyar
misi|missi
modern|moderen
mubazir|mubadir
mulia|mulya
mungkir|pungkir
museum|museum
napas|nafas
narasumber|nara
nasihat|nasehat
objek|obyek
objektif|obyektif
paham|faham
parlemen|parlamen
paspor|pasport
peduli|perduli
pikir|fikir
praktik|praktek
provinsi|propinsi
rabu|rebo
risiko|resiko
sah|syah
sanggama|senggama
sekadar|sekedar
sekuler|sekular
seluler|selular
semadi|semedi
sentral|central
seprai|seprei
silakan|silahkan
sirkuler|sirkular
sistem|sistim
saksama|seksama
subjek|subyek
subjektif|subyektif
surga|sorga
survei|survai
survei|survey
tampak|nampak
teladan|tauladan
teknik|tehnik
teknologi|tehnologi
telanjur|terlanjur
telantar|terlantar
terampil|trampil
vila|villa
wakaf|waqaf
wujud|ujud
yudikatif|yudikatip
ubah|rubah
zaman|jaman
Alpa|Alfa
Analisis|Analisa
Apotek|Apotik
Baik|Bae
Balas|Bales
Belum|Belom
Capai|Capek
Dalam|Dalem
Dapat|Dapet
Disahkan|Disyahkan
Februari|Febuari
Hakikat|Hakekat
Hilang|Ilang
Hutang|Utang
Ijazah|Ijasah
Ikhlas|Iklas
Ingat|Inget
Itikad|Itikat
Izin|Ijin
Jadual|Jadwal
Jumat|Jumaat
Kantung|Kantong
Karena|Karna
Karier|Karir
Kasier|Kasir
Karisma|Kharisma
Kepada|Kapada
Kerap|Kerab
Kaidah|Kaedah
Khatulistiwa|Katulistiwa
Khawatir|Kawatir
Konkret|Konkrit
Kuadrat|Kwadrat
Kualitas|Kwalitas
Kuantum|Kwantum
Kuis|Kuiz
Lazim|Lajim
Losin|Lusin
Maaf|Maap
Macam|Macem
Malas|Males
Manfaat|Manpaat
Nomor|Nomer
Materai|Matere
Mengesampingkan|Mengenyampingkan
Mengubah|Merubah
Padat|Padet
Pelanggan|Langganan
Pensil|Pinsil
Pertanggung jawaban|Pertanggungjawab
Pihak|Fihak
Populer|Popular
Rabu|Rebo
Rapat|Rapet
Sampai|Ampe
Selesai|Selese
Seperti|Kayak
Silakan|Silahkan
Sistem|Sistim
Aksi|Action
Aktivitas|Aktifitas
Aktif|Aktip
Analisis|Analisa
Anarki|Anarkhi
Anggota|Anggauta
Antre|Antri
Asas|Azas
Atmosfer|Atmosfir
Biosfer|Biosfir
Cenderamata|Cinderamata
Cepat|Cepet
Dalam|Dalem
Debit|Debet
Devaluasi|Defaluasi
Detail|Detil
Diagnosis|Diagnosa
Definisi|Difinisi
Doa|Do'a
Diam|Diem
Daftar|Daptar
Dipersilakan|Dipersilahkan
Ekstrem|Ekstrim
Ekuivalen|Ekwivalen
Elite|Elit
Familier|Familiar
Frekuensi|Frekwensi
Glucose|Glukosa
Grup|Group
Genting|Genteng
Gubuk|Gubug
Hakikat|Hakekat
Hectare|Hektar
Heterogen|Hetrogen
Hipotesis|Hipotesa
Hipotek|Hipotik
Hierarki|Hirarkhi
Hutang|Utang
Himbau|Imbau
Hanya|Cuma
Habis|Abis
